group_id,decision,legacy_product_ids,canonical_identity,canonical_title,categories_union,brand_status,description_status,media_count_before,media_count_after,urls_count,resulting_action,notes
1,Q03-GLOBAL,1|109|110|114,sql:productos:1,"AccessPRO FS1000SPEED",37|38|39,ASSIGNED,CONFLICT,24,4,2,MERGE,"Ganador=sql:productos:1 (id 1). 4 miembros consolidados."
2,Q03-GLOBAL,10|93|127,sql:productos:10,"Cortina serie 600",14|19,ASSIGNED,CONFLICT,20,5,1,MERGE,"Ganador=sql:productos:10 (id 10). 3 miembros consolidados."
3,Q03-GLOBAL,28|118|129,sql:productos:28,"Puertas blindadas",19|32,ASSIGNED,CONFLICT,31,6,1,MERGE,"Ganador=sql:productos:28 (id 28). 3 miembros consolidados."
4,Q03-GLOBAL,29|116|130,,,,,,25,0,1,KEEP_REVIEW,"Grupo rechazado: sin contenido estatico extraible (NO_STATIC_EDITORIAL_BODY) o membresia no verificada"
5,Q03-GLOBAL,31|119|131,,,,,,25,0,1,KEEP_REVIEW,"Grupo rechazado: sin contenido estatico extraible (NO_STATIC_EDITORIAL_BODY) o membresia no verificada"
6,Q03-GLOBAL,32|120|132,,,,,,25,0,1,KEEP_REVIEW,"Grupo rechazado: sin contenido estatico extraible (NO_STATIC_EDITORIAL_BODY) o membresia no verificada"
7,Q03-GLOBAL,33|122|133,sql:productos:33,"Puerta Holandesa",19|29,ASSIGNED,AGREED,21,4,1,MERGE,"Ganador=sql:productos:33 (id 33). 3 miembros consolidados."
8,Q03-GLOBAL,35|121|134,sql:productos:35,"Puerta y fijos Louver",19|30,ASSIGNED,AGREED,15,3,1,MERGE,"Ganador=sql:productos:35 (id 35). 3 miembros consolidados."
9,Q03-GLOBAL,44|123|125|135,sql:productos:44,"Barreras de estacionamiento MOOVI50RM",9|18|19,BRAND_UNRESOLVED_Q09,AGREED,20,3,1,MERGE,"Ganador=sql:productos:44 (id 44). 4 miembros consolidados."
10,Q03-GLOBAL,47|80|113,sql:productos:47,"P4,5-7 Piston Hidraulico para puerta abatible",12|38,ASSIGNED,CONFLICT,18,4,1,MERGE,"Ganador=sql:productos:47 (id 47). 3 miembros consolidados."
11,Q03-GLOBAL,48|79|112,sql:productos:48,"LUX 2B y Lux GV Piston hidraulico para puerta abatible",12|38,ASSIGNED,CONFLICT,18,4,1,MERGE,"Ganador=sql:productos:48 (id 48). 3 miembros consolidados."
