legacy_file,legacy_url,content_type,title,meta_description,canonical,h1,template_pattern,category,brand,pdf,indexable,notes
1500-revolving-door.php,https://puertasyserviciosindustriales.com/1500-revolving-door.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
accesorios.php,https://puertasyserviciosindustriales.com/accesorios.php,producto (probable),Accesorios | Doorlock | Marcas | PSI | Puertas y Servicios Industriales,"Productos Accesorios Marca Doorlock | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/accesorios-doorlock.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
accesspro-fs1000speed.php,https://puertasyserviciosindustriales.com/accesspro-fs1000speed.php,producto (probable),AccessPRO FS1000SPEED | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos AccessPRO FS1000SPEED Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Residenciales""]",detalle-estatico,,,fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
automatismos-para-cancelas-cubic.php,https://puertasyserviciosindustriales.com/automatismos-para-cancelas-cubic.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""CUBIC Automatismos ocultos al piso.""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
barreras-estacionamiento-moovi50rm.php,https://puertasyserviciosindustriales.com/barreras-estacionamiento-moovi50rm.php,producto (probable),Barreras de estacionamiento MOOVI50RM | BFT | Marcas | PSI | Puertas y Servicios Industriales,"Productos Barreras de estacionamiento MOOVI50RM Marca BFT | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,fichas/moovi50rm.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
bft-resp.php,https://puertasyserviciosindustriales.com/bft-resp.php,categoría / landing SEO (probable),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
bft.php,https://puertasyserviciosindustriales.com/bft.php,marca,BTF | Marcas | PSI | Puertas y Servicios Industriales,"Productos Marca BTF | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Marcas""]",listado-marca,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
bix-al-antena-externa-433-mhz.php,https://puertasyserviciosindustriales.com/bix-al-antena-externa-433-mhz.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
blindadas.php,https://puertasyserviciosindustriales.com/blindadas.php,categoría / landing SEO (probable),Puerta blindada | Puertas Blindadas | PSI | Puertas y Servicios Industriales,"Puerta blindada | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Puertas Blindadas""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
blue-giant.php,https://puertasyserviciosindustriales.com/blue-giant.php,marca,Blue Giant | Marcas | PSI | Puertas y Servicios Industriales,"Productos Marca Blue Giant | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Marcas""] |  [JS: ""Productos""]",listado-marca,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
categorias.php,https://puertasyserviciosindustriales.com/categorias.php,endpoint público / controlador,,,,,controlador-categorias,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; Controlador; metadatos según parámetros; código posterior a die excluido
centros-comerciales.php,https://puertasyserviciosindustriales.com/centros-comerciales.php,categoría / landing SEO (probable),Puertas automáticas peatonales para centro comercial | Soluciones comerciales | PSI | Puertas y Servicios Industriales,"Soluciones comerciales de Puertas automáticas peatonales para centro comercial | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Comerciales""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
clopay.php,https://puertasyserviciosindustriales.com/clopay.php,marca,Clopay | Marcas | PSI | Puertas y Servicios Industriales,"Productos Marca Clopay | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Marcas""]",listado-marca,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
coleccion-classic.php,https://puertasyserviciosindustriales.com/coleccion-classic.php,producto (probable),Colección Classic - Serie Premium | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Colección Classic - Serie Premium Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Residenciales""]",detalle-estatico,,,fichas/RSIDENCIAL-SERIE-PREMIUM.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
coleccion-modern-steel.php,https://puertasyserviciosindustriales.com/coleccion-modern-steel.php,producto (probable),Puertas de garage Colección Modern Steel™ | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Puertas de garage Colección Modern Steel™ Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Puertas de garage ""]",detalle-estatico,,,fichas/lisos.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
com-programadores-digitales-y-rotativos.php,https://puertasyserviciosindustriales.com/com-programadores-digitales-y-rotativos.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
comercial.php,https://puertasyserviciosindustriales.com/comercial.php,categoría / landing SEO (probable),Comerciales | Soluciones | PSI | Puertas y Servicios Industriales,"Soluciones de Productos Comerciales | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
contacto.php,https://puertasyserviciosindustriales.com/contacto.php,página institucional / formulario,PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Contacto""]",contacto,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
contra-exposion.php,https://puertasyserviciosindustriales.com/contra-exposion.php,categoría / landing SEO (probable),Puerta contra explosion | Contra explosion | PSI | Puertas y Servicios Industriales,"Puerta contra explosion | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Contra explosion""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
contra-incendio.php,https://puertasyserviciosindustriales.com/contra-incendio.php,categoría / landing SEO (probable),Puertas contra incendio | Contra incendio | PSI | Puertas y Servicios Industriales,"Puertas para salidas de emergencia | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Contra incendio""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-de-seguridad-670.php,https://puertasyserviciosindustriales.com/cortina-de-seguridad-670.php,producto (probable),Cortina de seguridad 670 | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina de seguridad 670 Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/security-grilles-670-671-brochure.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-de-seguridad-671.php,https://puertasyserviciosindustriales.com/cortina-de-seguridad-671.php,producto (probable),Cortina de seguridad 671 | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina de seguridad 671 Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/security-grilles-670-671-brochure1.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
