legacy_source,title,canonical_key,action,draft_status,category_status,brand_status,media_count,url_mapping_status,notes
1500-revolving-door.php,"Puerta Holandesa",static:1500-revolving-door.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
automatismos-para-cancelas-cubic.php,"CUBIC Automatismos ocultos al piso.",static:automatismos-para-cancelas-cubic.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Ensayo técnico privado autorizado en Prompt 6; no aprobación del catálogo productivo. Texto CUBIC extraído del PHP; marca/categoría permanecen vacías según suplemento."
bix-al-antena-externa-433-mhz.php,"BIX AL – Antena externa 433 MHz",static:bix-al-antena-externa-433-mhz.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
com-programadores-digitales-y-rotativos.php,"COM – Programadores digitales y rotativos",static:com-programadores-digitales-y-rotativos.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
cross-3e.php,"Cross 30E|EL AUTOMATISMO ENSAYADO PARA DURAR",static:cross-3e.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
detector-de-masas-max-eagle.php,"DETECTOR DE MASAS MAX EAGLE",static:detector-de-masas-max-eagle.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
ditec-neos-y-neos.php,"Ditec NeoS y NeoS+|EL AUTOMATISMO INTELIGENTE, SEGURO Y VERSÁTIL",static:ditec-neos-y-neos.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,"DOD – Automatización compacto y potente para portones seccionales, correderos y enrollables",static:dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
dura-glide-20003000-puerta.php,"Dura-Glide 2000/3000 Puerta",static:dura-glide-20003000-puerta.php,REVIEW,n/a,n/a,n/a,0,n/a,"Ficha/familia estática: decidir entidad y contenido; no convertir automáticamente a producto."
fotoceldas.php,"FOTOCELDAS EMIR-60",static:fotoceldas.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
