group_id,group_key,legacy_ids,record_count,titles,legacy_url,alias_urls,category_union,category_names,brand_ids_seen,brand_names_seen,same_normalized_name,same_description_hash,description_hash_count,pdf_identical_or_compatible,image_identical_or_compatible,fields_matching,fields_differing,evidence_level,classification,product_review_rows,media_review_rows,page_review_rows,q10_q11_q13_cross_reference
1,accesspro-fs1000speed.php,1|109|110|114,4,"AccessPRO FS1000SPEED",https://puertasyserviciosindustriales.com/accesspro-fs1000speed.php,q-silent-max-eagle-3-4-hp.php,37|38|39,"Operadores para puerta corrediza|Operadores para puerta abatible|Operadores para puertas ascendentes",1,"Overhead Door",YES,NO,2,YES,YES,"name; brand; images(compatible union); pdfs(compatible union)","description(text varies, see audit); category(37|38|39)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,4,5,2,
2,energy-series-with-intellicore-37171-3-4.php,2|17,2,"Energy Series With INTELLICOREÂ® 3717 1 3/4"" ~~ ENERGY SERIES WITH INTELLICOREÂ® 3717 1 3/4â€³, 3720 /3724 / 3722",https://puertasyserviciosindustriales.com/energy-series-with-intellicore-37171-3-4.php,,8,"Puertas Seccionales",3,Clopay,NO,YES,1,YES,YES,"brand; description; images(compatible union); pdfs(compatible union); category(8, no divergence)",name,STRONG,SAME_PRODUCT_DIFFERENT_NAME,2,8,1,
3,rampas-de-anden-hidraulicas-kelley.php,3|24|139,3,"NIVELADOR DE ANDÃ‰N HIDRÃULICO SERIE HP ~~ Rampas de AndÃ©n HidrÃ¡ulicas ~~ Rampas de AndÃ©n HidrÃ¡ulicas Kelley RAMPA NIVELADORA MECÃNICA BLUE GIANT",https://puertasyserviciosindustriales.com/rampas-de-anden-hidraulicas-kelley.php,,7|10,"Residenciales|Rampa Niveladora",5|,Kelley,NO,NO,2,YES,YES,"brand; images(compatible union); pdfs(compatible union)","name; description(text varies, see audit); category(7|10)",WEAK_CONTESTED,POSSIBLE_DUPLICATE_NEEDS_REVIEW,3,4,1,"Policy.php CATEGORY_CONFLICT_PRODUCTS=[3] ya excluye id=3 de R-T01/R-P01 automatico por esta misma contradiccion."
4,cortina-en-aluminio-serie-511-521.php,5|88,2,"Cortina en aluminio serie 511/521 ~~ Cortina en aluminio serie 511 / 521",https://puertasyserviciosindustriales.com/cortina-en-aluminio-serie-511-521.php,,14,"Cortinas enrollables",1,"Overhead Door",YES,YES,1,YES,YES,"name; brand; description; images(compatible union); pdfs(compatible union); category(14, no divergence)",,STRONG,SAME_PRODUCT_DIFFERENT_NAME,2,4,1,
5,coleccion-modern-steel.php,6|16|20|107,4,"ColecciÃ³n Modern Steelâ„¢",https://puertasyserviciosindustriales.com/coleccion-modern-steel.php,,36,"Puertas residenciales",1|2|3|,"Overhead Door|Wayne Dalton|Clopay",YES,YES,1,YES,YES,"name; description; images(compatible union); pdfs(compatible union); category(36, no divergence)",brand,WEAK_CONTESTED,POSSIBLE_DUPLICATE_NEEDS_REVIEW,4,10,1,"Conflicto de marca ya documentado en manual-decisions-required.md (""ModernSteel IDs 6/16/20/107: tres marcas""); Q09-adyacente, no se resuelve aqui."
6,puerta-seccional-de-acero-thermacore-serie-592.php,8|62,2,"Thermacore serie 592 ~~ Puerta seccional de acero Thermacore serie 592",https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-serie-592.php,,8,"Puertas Seccionales",1,"Overhead Door",NO,YES,1,YES,YES,"brand; description; images(compatible union); pdfs(compatible union); category(8, no divergence)",name,STRONG,SAME_PRODUCT_DIFFERENT_NAME,2,4,1,
7,cortina-serie-600.php,10|93|127,3,"Cortina serie 600",https://puertasyserviciosindustriales.com/cortina-serie-600.php,,14|19,"Cortinas enrollables|Centros comerciales y hoteles",1,"Overhead Door",YES,NO,2,YES,YES,"name; brand; images(compatible union); pdfs(compatible union)","description(text varies, see audit); category(14|19)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,6,1,
8,puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php,14|57,2,"Puertas Seccionales de Acero Aisladas Thermospan Â® Modelo 150 ~~ Puertas Seccionales de Acero Aisladas ThermospanÂ® Modelo 150",https://puertasyserviciosindustriales.com/puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php,puertas-seccionales-de-acero-aisladas-thermospan.php,8,"Puertas Seccionales",2|,"Wayne Dalton",YES,NO,2,YES,YES,"name; brand; images(compatible union); pdfs(compatible union); category(8, no divergence)","description(text varies, see audit)",WEAK_CONTESTED,POSSIBLE_DUPLICATE_NEEDS_REVIEW,2,6,2,"Conflicto de marca ya documentado (""14/57 texto Wayne y Clopay""); Q09-adyacente, no se resuelve aqui."
9,puertas-blindadas.php,28|118|129,3,"Puertas blindadas ~~ Puerta Blindada",https://puertasyserviciosindustriales.com/puertas-blindadas.php,,19|32,"Centros comerciales y hoteles|Puertas blindadas",6,Doorlock,NO,NO,3,YES,YES,"brand; images(compatible union); pdfs(compatible union)","name; description(text varies, see audit); category(19|32)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,10,1,
10,puertas-contra-incendio.php,29|116|130,3,"Puertas contra incendio",https://puertasyserviciosindustriales.com/puertas-contra-incendio.php,,19|33,"Centros comerciales y hoteles|Puertas contra incendio",6,Doorlock,YES,NO,3,YES,YES,"name; brand; images(compatible union); pdfs(compatible union)","description(text varies, see audit); category(19|33)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,8,1,"Q10: categoria 33 ya aprobada MIGRATE; este grupo reutiliza esa misma categoria."
