candidate_group,product_ids,record_count,db_categories,db_brands,aliases,decision,notes
accesspro-fs1000speed.php,1|109|110|114,4,0|37|38|39,0|1,q-silent-max-eagle-3-4-hp.php,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
energy-series-with-intellicore-37171-3-4.php,2|17,2,0|8,0|3,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
rampas-de-anden-hidraulicas-kelley.php,3|24|139,3,0|7|10,0|5,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-serie-625.php,4|87,2,0|14,0|1,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-en-aluminio-serie-511-521.php,5|88,2,0|14,0|1,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
coleccion-modern-steel.php,6|16|20|107,4,0|36,0|1|2|3,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-serie-620.php,7|91,2,0|14,0|1,serie-620.php,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-seccional-de-acero-thermacore-serie-592.php,8|62,2,0|8,0|1,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
coleccion-classic.php,9|108,2,0|36,0|1,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-serie-600.php,10|93|127,3,0|14|19,0|1,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-serie-630.php,11|94,2,0|14,0|1,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
operador-comercial-rhx.php,12|82,2,0|13,0|1,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
fire-rated-doors-firestar-models-700-700c.php,13|99,2,0|14,0|2,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
