legacy_product_id,legacy_php,legacy_url,name,proposed_slug,category_id,category_name,category_confidence,brand_id,brand_name,brand_confidence,images,technical_pdf,video,template_family,source_of_relationship,migration_status,notes,db_category_id,db_brand_id,category_candidates,brand_candidates,root_category_ids,php_match_confidence,unambiguous_php,alias_candidate_files,canonical_candidate_group,peer_product_ids,db_image_ids,db_pdf_ids,db_image_paths,page_image_paths,db_pdf_paths,page_pdf_paths
1,accesspro-fs1000speed.php,https://puertasyserviciosindustriales.com/accesspro-fs1000speed.php,AccessPRO FS1000SPEED,accesspro-fs1000speed,37|38|39,Operadores para puerta corrediza|Operadores para puerta abatible|Operadores para puertas ascendentes,STRONG_INFERENCE,1,Overhead Door,CONFIRMED,images/accesspro.jpg|images/verficha.png|system/files/images/productos/7f7f61551dd20beb863b5847d43b062d728c618d|system/files/images/productos/a55fa2df012da03804394e857fc5e09ed6a69191,fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf|system/files/images/productos/959c0d9393ada51bef2817e8db59c54b487d2262,,detalle-estatico,"puerta34_administrador.sql:1532 (productos_id=1); operadores-para-puertas-corredizas-residenciales.php:33 -> accesspro-fs1000speed.php [category 37]; operadores-para-puertas-corredizas-residenciales.php:38 -> accesspro-fs1000speed.php [category 37]; operadores-para-puertas-corredizas-residenciales.php:42 -> accesspro-fs1000speed.php [category 37]; operadores-para-puerta-abatible.php:33 -> accesspro-fs1000speed.php [category 38]; operadores-para-puerta-abatible.php:38 -> accesspro-fs1000speed.php [category 38]; operadores-para-puerta-abatible.php:42 -> accesspro-fs1000speed.php [category 38]; operadores-para-puertas-ascendentes.php:33 -> accesspro-fs1000speed.php [category 39]; operadores-para-puertas-ascendentes.php:38 -> accesspro-fs1000speed.php [category 39]; operadores-para-puertas-ascendentes.php:42 -> accesspro-fs1000speed.php [category 39]; page match: accesspro-fs1000speed.php; exact_name=True; image_sha256=1; pdf_sha256=1; description_5grams=0.929; accesspro-fs1000speed.php:1 title; body brand IDs=; peer SQL IDs=1,109,110,114",REVIEW,Multiples PHP relacionados; alias_candidate_files no implica redirect aprobado,0,1,37|38|39,1,7,STRONG_INFERENCE,NO,q-silent-max-eagle-3-4-hp.php,accesspro-fs1000speed.php,1|109|110|114,"1,165",164,system/files/images/productos/a55fa2df012da03804394e857fc5e09ed6a69191|system/files/images/productos/7f7f61551dd20beb863b5847d43b062d728c618d,images/verficha.png|images/accesspro.jpg,system/files/images/productos/959c0d9393ada51bef2817e8db59c54b487d2262,fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf
2,energy-series-with-intellicore-37171-3-4.php,https://puertasyserviciosindustriales.com/energy-series-with-intellicore-37171-3-4.php,"Energy Series With INTELLICOREÂ® 3717 1 3/4""",energy-series-with-intellicore-37171-3-4,8,Puertas Seccionales,CONFIRMED,3,Clopay,STRONG_INFERENCE,images/energy.jpg|images/verficha.png|system/files/images/productos/59ca6b73479b3fcde81f96439976896bad94b750|system/files/images/productos/9373560b7092ddbdc9e4c0586c55dacf882d166a,fichas/CMDC-3717-3718-11.pdf|fichas/M-28R.pdf|system/files/images/productos/74237414514c37fbc6273d2d8ed63ba0af98464d|system/files/images/productos/b2588f4e4df68a23124a8dbc2b63374ec6959253,,detalle-estatico,"puerta34_administrador.sql:1533 (productos_id=2); puertas-seccionales-industriales.php:37 -> energy-series-with-intellicore-37171-3-4.php [category 8]; puertas-seccionales-industriales.php:42 -> energy-series-with-intellicore-37171-3-4.php [category 8]; puertas-seccionales-industriales.php:46 -> energy-series-with-intellicore-37171-3-4.php [category 8]; page match: energy-series-with-intellicore-37171-3-4.php; exact_name=True; image_sha256=1; pdf_sha256=2; description_5grams=0.973; clopay.php:37 -> energy-series-with-intellicore-37171-3-4.php [brand 3]; clopay.php:42 -> energy-series-with-intellicore-37171-3-4.php [brand 3]; clopay.php:46 -> energy-series-with-intellicore-37171-3-4.php [brand 3]; energy-series-with-intellicore-37171-3-4.php:1 title; body brand IDs=3; peer SQL IDs=2,17",REVIEW,,8,0,8,3,1,STRONG_INFERENCE,YES,,energy-series-with-intellicore-37171-3-4.php,2|17,"19,23","9,10",system/files/images/productos/59ca6b73479b3fcde81f96439976896bad94b750|system/files/images/productos/9373560b7092ddbdc9e4c0586c55dacf882d166a,images/verficha.png|images/verficha.png|images/energy.jpg,system/files/images/productos/b2588f4e4df68a23124a8dbc2b63374ec6959253|system/files/images/productos/74237414514c37fbc6273d2d8ed63ba0af98464d,fichas/CMDC-3717-3718-11.pdf|fichas/M-28R.pdf
3,rampas-de-anden-hidraulicas-kelley.php,https://puertasyserviciosindustriales.com/rampas-de-anden-hidraulicas-kelley.php,NIVELADOR DE ANDÃ‰N HIDRÃULICO SERIE HP,rampas-de-anden-hidraulicas-kelley,7,Residenciales,WEAK_INFERENCE,5,Kelley,STRONG_INFERENCE,images/rampak.jpg|images/verficha.png|system/files/images/productos/158ffcb904bc82f2a7d2ec143de37e00730d04bd,fichas/Kelley-Hydraulic-Dock-Leveler-Brochure_web.pdf|system/files/images/productos/270dc5e4c6c6812ee093439acca26905e68f7d8d,,detalle-estatico,"puerta34_administrador.sql:1534 (productos_id=3); rampa-niveladora.php:33 -> rampas-de-anden-hidraulicas-kelley.php [category 10]; rampa-niveladora.php:38 -> rampas-de-anden-hidraulicas-kelley.php [category 10]; rampa-niveladora.php:42 -> rampas-de-anden-hidraulicas-kelley.php [category 10]; page match: rampas-de-anden-hidraulicas-kelley.php; exact_name=False; image_sha256=1; pdf_sha256=1; description_5grams=0.556; kelley.php:37 -> rampas-de-anden-hidraulicas-kelley.php [brand 5]; kelley.php:42 -> rampas-de-anden-hidraulicas-kelley.php [brand 5]; kelley.php:46 -> rampas-de-anden-hidraulicas-kelley.php [brand 5]; rampas-de-anden-hidraulicas-kelley.php:1 title; body brand IDs=; peer SQL IDs=3,24,139",REVIEW,CONFLICT: SQL categoria 7 Residenciales; pagina/medios Kelley y grid rampa-niveladora apuntan categoria 10; no corregido; Correspondencia no inequivoca: nombre no coincide exactamente,7,0,10,5,7,STRONG_INFERENCE,NO,,rampas-de-anden-hidraulicas-kelley.php,3|24|139,31,35,system/files/images/productos/158ffcb904bc82f2a7d2ec143de37e00730d04bd,images/verficha.png|images/rampak.jpg,system/files/images/productos/270dc5e4c6c6812ee093439acca26905e68f7d8d,fichas/Kelley-Hydraulic-Dock-Leveler-Brochure_web.pdf
4,cortina-serie-625.php,https://puertasyserviciosindustriales.com/cortina-serie-625.php,Cortina serie 625,cortina-serie-625,14,Cortinas enrollables,STRONG_INFERENCE,1,Overhead Door,CONFIRMED,images/rolling-service-door-625-wide.jpg|images/verficha.png|system/files/images/productos/0dd525f64a0290377628938328d07d21668c7f22,fichas/rolling-service-doors-625-brochure.pdf|system/files/images/productos/42ba96f71987cc30cb19107d18eb0649ee492636,,detalle-estatico,"puerta34_administrador.sql:1535 (productos_id=4); cortinas-enrollables-industriales.php:52 -> cortina-serie-625.php [category 14]; cortinas-enrollables-industriales.php:57 -> cortina-serie-625.php [category 14]; cortinas-enrollables-industriales.php:61 -> cortina-serie-625.php [category 14]; page match: cortina-serie-625.php; exact_name=True; image_sha256=1; pdf_sha256=1; description_5grams=0.93; overhead-door.php:57 -> cortina-serie-625.php [brand 1]; overhead-door.php:62 -> cortina-serie-625.php [brand 1]; overhead-door.php:66 -> cortina-serie-625.php [brand 1]; cortina-serie-625.php:1 title; body brand IDs=; peer SQL IDs=4,87",REVIEW,,0,1,14,1,1,STRONG_INFERENCE,YES,,cortina-serie-625.php,4|87,169,173,system/files/images/productos/0dd525f64a0290377628938328d07d21668c7f22,images/verficha.png|images/rolling-service-door-625-wide.jpg,system/files/images/productos/42ba96f71987cc30cb19107d18eb0649ee492636,fichas/rolling-service-doors-625-brochure.pdf
5,cortina-en-aluminio-serie-511-521.php,https://puertasyserviciosindustriales.com/cortina-en-aluminio-serie-511-521.php,Cortina en aluminio serie 511/521,cortina-en-aluminio-serie-511-521,14,Cortinas enrollables,STRONG_INFERENCE,1,Overhead Door,CONFIRMED,images/cortina-aluminio.jpg|images/verficha.png|system/files/images/productos/c8ff88040661a79b39a07b1e3a27f49432df5dff,fichas/commercial-aluminum-door-systems-brochure.pdf|system/files/images/productos/282c6618830434da376551106d0722c97a5f2416,,detalle-estatico,"puerta34_administrador.sql:1536 (productos_id=5); cortinas-enrollables-industriales.php:70 -> cortina-en-aluminio-serie-511-521.php [category 14]; cortinas-enrollables-industriales.php:75 -> cortina-en-aluminio-serie-511-521.php [category 14]; cortinas-enrollables-industriales.php:79 -> cortina-en-aluminio-serie-511-521.php [category 14]; page match: cortina-en-aluminio-serie-511-521.php; exact_name=True; image_sha256=1; pdf_sha256=1; description_5grams=1.0; overhead-door.php:76 -> cortina-en-aluminio-serie-511-521.php [brand 1]; overhead-door.php:81 -> cortina-en-aluminio-serie-511-521.php [brand 1]; overhead-door.php:85 -> cortina-en-aluminio-serie-511-521.php [brand 1]; cortina-en-aluminio-serie-511-521.php:1 title; body brand IDs=; peer SQL IDs=5,88",REVIEW,,0,1,14,1,1,STRONG_INFERENCE,YES,,cortina-en-aluminio-serie-511-521.php,5|88,174,178,system/files/images/productos/c8ff88040661a79b39a07b1e3a27f49432df5dff,images/verficha.png|images/cortina-aluminio.jpg,system/files/images/productos/282c6618830434da376551106d0722c97a5f2416,fichas/commercial-aluminum-door-systems-brochure.pdf
6,coleccion-modern-steel.php,https://puertasyserviciosindustriales.com/coleccion-modern-steel.php,ColecciÃ³n Modern Steelâ„¢,coleccion-modern-steel,36,Puertas residenciales,STRONG_INFERENCE,1,Overhead Door,WEAK_INFERENCE,images/liso_rayas.png|images/modern-steel-1.png|images/modern-steel-2.png|images/verficha.png|system/files/images/productos/68350ebf06fb528912f62e2bf663862519c7dd38|system/files/images/productos/d113f473f3aa6186e6cce3296aebc45f1a266b9d|system/files/images/productos/dfab80908ff3b6ba9e823ae8e208dbca887b97fe|system/files/images/productos/f304f05a8957297b9b40a452fa93647f80e7bcb6,fichas/lisos.pdf|system/files/images/productos/1bc8deceeea60e7d404142cf859897e4e36ccc86,,detalle-estatico,"puerta34_administrador.sql:1537 (productos_id=6); puertasresidenciales.php:33 -> coleccion-modern-steel.php [category 36]; puertasresidenciales.php:38 -> coleccion-modern-steel.php [category 36]; puertasresidenciales.php:42 -> coleccion-modern-steel.php [category 36]; page match: coleccion-modern-steel.php; exact_name=True; image_sha256=3; pdf_sha256=1; description_5grams=0.947; overhead-door.php:94 -> coleccion-modern-steel.php [brand 1]; overhead-door.php:99 -> coleccion-modern-steel.php [brand 1]; overhead-door.php:103 -> coleccion-modern-steel.php [brand 1]; wayne-dalton.php:94 -> coleccion-modern-steel.php [brand 2]; wayne-dalton.php:99 -> coleccion-modern-steel.php [brand 2]; wayne-dalton.php:103 -> coleccion-modern-steel.php [brand 2]; clopay.php:92 -> coleccion-modern-steel.php [brand 3]; clopay.php:97 -> coleccion-modern-steel.php [brand 3]; clopay.php:101 -> coleccion-modern-steel.php [brand 3]; coleccion-modern-steel.php:1 title; body brand IDs=3; peer SQL IDs=6,16,20,107",REVIEW,"CONFLICT: marcas candidatas 1,2,3; asignacion SQL no equivale a fabricante verificado",0,1,36,1|2|3,7,STRONG_INFERENCE,YES,,coleccion-modern-steel.php,6|16|20|107,"179,183,187,191",195,system/files/images/productos/d113f473f3aa6186e6cce3296aebc45f1a266b9d|system/files/images/productos/f304f05a8957297b9b40a452fa93647f80e7bcb6|system/files/images/productos/68350ebf06fb528912f62e2bf663862519c7dd38|system/files/images/productos/dfab80908ff3b6ba9e823ae8e208dbca887b97fe,images/verficha.png|images/liso_rayas.png|images/modern-steel-1.png|images/modern-steel-2.png,system/files/images/productos/1bc8deceeea60e7d404142cf859897e4e36ccc86,fichas/lisos.pdf
7,cortina-serie-620.php,https://puertasyserviciosindustriales.com/cortina-serie-620.php,Cortina serie 620,cortina-serie-620,14,Cortinas enrollables,STRONG_INFERENCE,1,Overhead Door,CONFIRMED,images/cortina-620.jpg|images/verficha.png|system/files/images/productos/e580517f07a377c10127844c71373a174bcf76fe,fichas/rolling-steel-doors-610-620-brochure.pdf|system/files/images/productos/6e1ed3d9b7cfc7e53a9396670b592b8e0a0aa2da,,detalle-estatico,"puerta34_administrador.sql:1538 (productos_id=7); cortinas-enrollables-industriales.php:124 -> cortina-serie-620.php [category 14]; cortinas-enrollables-industriales.php:129 -> cortina-serie-620.php [category 14]; cortinas-enrollables-industriales.php:133 -> cortina-serie-620.php [category 14]; page match: cortina-serie-620.php; exact_name=True; image_sha256=1; pdf_sha256=1; description_5grams=1.0; overhead-door.php:112 -> cortina-serie-620.php [brand 1]; overhead-door.php:117 -> cortina-serie-620.php [brand 1]; overhead-door.php:121 -> cortina-serie-620.php [brand 1]; cortina-serie-620.php:1 title; body brand IDs=; peer SQL IDs=7,91",REVIEW,Multiples PHP relacionados; alias_candidate_files no implica redirect aprobado,0,1,14,1,1,STRONG_INFERENCE,NO,serie-620.php,cortina-serie-620.php,7|91,196,200,system/files/images/productos/e580517f07a377c10127844c71373a174bcf76fe,images/verficha.png|images/cortina-620.jpg,system/files/images/productos/6e1ed3d9b7cfc7e53a9396670b592b8e0a0aa2da,fichas/rolling-steel-doors-610-620-brochure.pdf
8,puerta-seccional-de-acero-thermacore-serie-592.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-serie-592.php,Thermacore serie 592,puerta-seccional-de-acero-thermacore-serie-592,8,Puertas Seccionales,STRONG_INFERENCE,1,Overhead Door,CONFIRMED,images/sectional-steel-thermacore-door-592.jpg|images/verficha.png|system/files/images/productos/187b4bd808ae2adb2a5952d632cf3116e0fc8051,fichas/sectional-thermacore-doors-592-599-brochure.pdf|system/files/images/productos/06bfd8e22a88d66d31acea15164a009c18912ca2,,detalle-estatico,"puerta34_administrador.sql:1539 (productos_id=8); puertas-seccionales-industriales.php:145 -> puerta-seccional-de-acero-thermacore-serie-592.php [category 8]; puertas-seccionales-industriales.php:150 -> puerta-seccional-de-acero-thermacore-serie-592.php [category 8]; puertas-seccionales-industriales.php:154 -> puerta-seccional-de-acero-thermacore-serie-592.php [category 8]; page match: puerta-seccional-de-acero-thermacore-serie-592.php; exact_name=True; image_sha256=1; pdf_sha256=1; description_5grams=1.0; overhead-door.php:130 -> puerta-seccional-de-acero-thermacore-serie-592.php [brand 1]; overhead-door.php:135 -> puerta-seccional-de-acero-thermacore-serie-592.php [brand 1]; overhead-door.php:139 -> puerta-seccional-de-acero-thermacore-serie-592.php [brand 1]; puerta-seccional-de-acero-thermacore-serie-592.php:1 title; body brand IDs=; peer SQL IDs=8,62",REVIEW,,0,1,8,1,1,STRONG_INFERENCE,YES,,puerta-seccional-de-acero-thermacore-serie-592.php,8|62,201,205,system/files/images/productos/187b4bd808ae2adb2a5952d632cf3116e0fc8051,images/verficha.png|images/sectional-steel-thermacore-door-592.jpg,system/files/images/productos/06bfd8e22a88d66d31acea15164a009c18912ca2,fichas/sectional-thermacore-doors-592-599-brochure.pdf
9,coleccion-classic.php,https://puertasyserviciosindustriales.com/coleccion-classic.php,ColecciÃ³n Classicâ„¢ â€“ Serie Premium,coleccion-classic,36,Puertas residenciales,STRONG_INFERENCE,1,Overhead Door,CONFIRMED,images/Cuadros_cortos_y_largos.png|images/construccion.png|images/detalle_de_cuadros.png|images/fotos_a_cuadros.png|images/verficha.png|system/files/images/productos/0dff9191d2ec6cb7124c0438858de83fb11ccdf7|system/files/images/productos/323ea1a66ccbf677c589b2807058ba4f5754f920|system/files/images/productos/52af9161c31f825128383fb23742e384e60dd462|system/files/images/productos/7d20ad9bfbd958c417038f14164c8a21573e4d34|system/files/images/productos/8622f8b336698cab1d58bcd0bb0f864586914bb6,fichas/RSIDENCIAL-SERIE-PREMIUM.pdf|system/files/images/productos/6d032a5579b0dd9ef150e1d93528463960040d95,,detalle-estatico,"puerta34_administrador.sql:1540 (productos_id=9); puertasresidenciales.php:51 -> coleccion-classic.php [category 36]; puertasresidenciales.php:56 -> coleccion-classic.php [category 36]; puertasresidenciales.php:60 -> coleccion-classic.php [category 36]; page match: coleccion-classic.php; exact_name=True; image_sha256=4; pdf_sha256=1; description_5grams=0.927; overhead-door.php:148 -> coleccion-classic.php [brand 1]; overhead-door.php:153 -> coleccion-classic.php [brand 1]; overhead-door.php:157 -> coleccion-classic.php [brand 1]; coleccion-classic.php:1 title; body brand IDs=; peer SQL IDs=9,108",REVIEW,,0,1,36,1,7,STRONG_INFERENCE,YES,,coleccion-classic.php,9|108,"206,210,214,218,222",226,system/files/images/productos/0dff9191d2ec6cb7124c0438858de83fb11ccdf7|system/files/images/productos/7d20ad9bfbd958c417038f14164c8a21573e4d34|system/files/images/productos/8622f8b336698cab1d58bcd0bb0f864586914bb6|system/files/images/productos/52af9161c31f825128383fb23742e384e60dd462|system/files/images/productos/323ea1a66ccbf677c589b2807058ba4f5754f920,images/verficha.png|images/Cuadros_cortos_y_largos.png|images/detalle_de_cuadros.png|images/construccion.png|images/fotos_a_cuadros.png,system/files/images/productos/6d032a5579b0dd9ef150e1d93528463960040d95,fichas/RSIDENCIAL-SERIE-PREMIUM.pdf
10,cortina-serie-600.php,https://puertasyserviciosindustriales.com/cortina-serie-600.php,Cortina serie 600,cortina-serie-600,14|19,Cortinas enrollables|Centros comerciales y hoteles,STRONG_INFERENCE,1,Overhead Door,CONFIRMED,images/serie-600.jpg|images/serie_600.png|images/verficha.png|system/files/images/productos/d8fee0db7a4abffa83cd01515a5618e2b1b78b17|system/files/images/productos/e6d8a9c021af46599e25526f7afa2c9689eba705,fichas/rolling-service-doors-600-brochure.pdf|system/files/images/productos/a9cf3d4f6bde89180e0ae23231a70bb8f2ff3300,,detalle-estatico,"puerta34_administrador.sql:1541 (productos_id=10); cortinas-enrollables-industriales.php:160 -> cortina-serie-600.php [category 14]; cortinas-enrollables-industriales.php:165 -> cortina-serie-600.php [category 14]; cortinas-enrollables-industriales.php:169 -> cortina-serie-600.php [category 14]; centros-comerciales.php:107 -> cortina-serie-600.php [category 19]; centros-comerciales.php:112 -> cortina-serie-600.php [category 19]; centros-comerciales.php:116 -> cortina-serie-600.php [category 19]; page match: cortina-serie-600.php; exact_name=True; image_sha256=1; pdf_sha256=1; description_5grams=1.0; overhead-door.php:166 -> cortina-serie-600.php [brand 1]; overhead-door.php:171 -> cortina-serie-600.php [brand 1]; overhead-door.php:175 -> cortina-serie-600.php [brand 1]; cortina-serie-600.php:1 title; body brand IDs=; peer SQL IDs=10,93,127",REVIEW,,0,1,14|19,1,1|2,STRONG_INFERENCE,YES,,cortina-serie-600.php,10|93|127,"227,231",235,system/files/images/productos/e6d8a9c021af46599e25526f7afa2c9689eba705|system/files/images/productos/d8fee0db7a4abffa83cd01515a5618e2b1b78b17,images/verficha.png|images/serie-600.jpg|images/serie_600.png,system/files/images/productos/a9cf3d4f6bde89180e0ae23231a70bb8f2ff3300,fichas/rolling-service-doors-600-brochure.pdf
