source_type,source_key,current_reason,normalized_reason_code,evidence_level,proposed_action,proposed_rule_id,risk,human_decision_required,evidence_reference,notes
media,asset:fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica (1).pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R12_MEDIA_PURPOSE_UNPROVEN,NONE,KEEP_REVIEW,R-M07,MEDIUM,D09,media-master.csv:fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica (1).pdf usage=PDF_APPARENTLY_UNUSED|EXACT_DUPLICATE_BYTES direct_refs=0,Sin relacion con entidad SQL y sin referencia publica atribuible. Ausencia de referencia NO demuestra orfandad (D09): se conserva en REVIEW.
media,asset:fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R09_MEDIA_OWNER_PENDING,CONFIRMED,MIGRATE,R-M04,LOW,,"media-usage-evidence.csv PUBLIC_SOURCE pages=['accesspro-fs1000speed.php', 'operadores-puerta-abatible.php', 'operadores-puerta-corrediza-residencial.php'] path=fichas/13.0.Folleto-Operador-AccessPRO-FS1000-SPEED-hoja-tecnica.pdf",Referenciada literalmente por una Page editorial aprobada (R-G02).
media,asset:fichas/Abrigo-de-anden-BG400.pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R09_MEDIA_OWNER_PENDING,STRONG,KEEP_REVIEW,R-M04b,MEDIUM,D02,media-usage-evidence.csv PUBLIC_SOURCE pages=['shelter-abrigo-estacionario-blue-giant.php'] (1) path=fichas/Abrigo-de-anden-BG400.pdf,Referencia publica literal desde 1 pagina(s) ['PRODUCT_PAGE']; el propietario final de esas paginas aun no esta decidido.
media,asset:fichas/accesorios-doorlock.pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R09_MEDIA_OWNER_PENDING,STRONG,KEEP_REVIEW,R-M04b,MEDIUM,D02,media-usage-evidence.csv PUBLIC_SOURCE pages=['accesorios.php'] (1) path=fichas/accesorios-doorlock.pdf,Referencia publica literal desde 1 pagina(s) ['PRODUCT_PAGE']; el propietario final de esas paginas aun no esta decidido.
media,asset:fichas/Alumina-Technical-Specifications-15.pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R09_MEDIA_OWNER_PENDING,STRONG,KEEP_REVIEW,R-M04b,MEDIUM,D02,media-usage-evidence.csv PUBLIC_SOURCE pages=['kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php'] (1) path=fichas/Alumina-Technical-Specifications-15.pdf,Referencia publica literal desde 1 pagina(s) ['PRODUCT_PAGE']; el propietario final de esas paginas aun no esta decidido.
media,asset:fichas/BGDSHS_Brochure_Sept2014_WEB.pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R09_MEDIA_OWNER_PENDING,STRONG,KEEP_REVIEW,R-M04b,MEDIUM,D02,media-usage-evidence.csv PUBLIC_SOURCE pages=['shelter-abrigo-estacionario-blue-giant.php'] (1) path=fichas/BGDSHS_Brochure_Sept2014_WEB.pdf,Referencia publica literal desde 1 pagina(s) ['PRODUCT_PAGE']; el propietario final de esas paginas aun no esta decidido.
media,asset:fichas/cdx-commercial-operator-sellsheet.pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R09_MEDIA_OWNER_PENDING,STRONG,KEEP_REVIEW,R-M04b,MEDIUM,D02,media-usage-evidence.csv PUBLIC_SOURCE pages=['operadores-para-puertas-de-mostrador-cdo.php'] (1) path=fichas/cdx-commercial-operator-sellsheet.pdf,Referencia publica literal desde 1 pagina(s) ['PRODUCT_PAGE']; el propietario final de esas paginas aun no esta decidido.
media,asset:fichas/Clopay-3720-07.pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R09_MEDIA_OWNER_PENDING,STRONG,KEEP_REVIEW,R-M04b,MEDIUM,D02,media-usage-evidence.csv PUBLIC_SOURCE pages=['energy-series-with-intellicore-3720-3724-3722.php'] (1) path=fichas/Clopay-3720-07.pdf,Referencia publica literal desde 1 pagina(s) ['PRODUCT_PAGE']; el propietario final de esas paginas aun no esta decidido.
media,asset:fichas/CMDC-0524SP-14-1.pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R09_MEDIA_OWNER_PENDING,STRONG,KEEP_REVIEW,R-M04b,MEDIUM,D02,media-usage-evidence.csv PUBLIC_SOURCE pages=['puerta-de-acero-acanalado-modelos-524.php'] (1) path=fichas/CMDC-0524SP-14-1.pdf,Referencia publica literal desde 1 pagina(s) ['PRODUCT_PAGE']; el propietario final de esas paginas aun no esta decidido.
media,asset:fichas/CMDC-3717-3718-11.pdf,Uso documental no equivale a aprobación de propósito/identidad de medios.,R09_MEDIA_OWNER_PENDING,STRONG,KEEP_REVIEW,R-M04b,MEDIUM,D02,media-usage-evidence.csv PUBLIC_SOURCE pages=['energy-series-with-intellicore-37171-3-4.php'] (1) path=fichas/CMDC-3717-3718-11.pdf,Referencia publica literal desde 1 pagina(s) ['PRODUCT_PAGE']; el propietario final de esas paginas aun no esta decidido.
