legacy_path,source_sha256,bucket,approval_type,classification_or_rule,products_pmr,entity_action,entity_still_review_reason,notes
fichas/puerta-424.pdf,0a7193edcd8929ac114043fcbffb8e53109ce4363f062cb269f2062ce9e1b4f8,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto (mismo SHA-256) de system/files/images/productos/639b9801..., ya aprobado y saneado arriba; misma ficha (producto 65) alcanzada por la ruta estatica de pagina en vez de la ruta derivada de SQL. Reutiliza el mismo saneado por contenido; no se regenera."
fichas/puerta-430.pdf,0a7193edcd8929ac114043fcbffb8e53109ce4363f062cb269f2062ce9e1b4f8,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/639b9801... (producto 66), misma logica que puerta-424.pdf. Reutiliza el mismo saneado por contenido."
fichas/puerta-seccional-418.pdf,a922b6ce9f9ca80b565a3b24be27a086f555aa305db9b9135443c079d93255df,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/7ab52eec... (producto 68). Reutiliza el mismo saneado por contenido."
fichas/puerta-seccional-422.pdf,a922b6ce9f9ca80b565a3b24be27a086f555aa305db9b9135443c079d93255df,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/7ab52eec... (producto 69). Reutiliza el mismo saneado por contenido."
fichas/puerta-seccional-426.pdf,703eb6311aaedddf3dd24a8e6b75089463317352f174f672c8d5002e3dfd574f,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/3af12bf1... (producto 70). Reutiliza el mismo saneado por contenido."
fichas/puerta-seccional-432.pdf,703eb6311aaedddf3dd24a8e6b75089463317352f174f672c8d5002e3dfd574f,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/3af12bf1... (producto 71). Reutiliza el mismo saneado por contenido."
fichas/puerta-thermacore-593.pdf,7e501c26a5bfc0c02da8899de34a0b6a2bef31bbb42c2124a5c3995ad803a3ee,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/7baea774... (producto 72). Reutiliza el mismo saneado por contenido."
fichas/puerta-thermacore-594.pdf,7e501c26a5bfc0c02da8899de34a0b6a2bef31bbb42c2124a5c3995ad803a3ee,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/7baea774... (producto 73). Reutiliza el mismo saneado por contenido."
fichas/puerta-521.pdf,e8ac9a72e867f60aa21665abd004640f2fac4e477b025eae8b7b9a8ae7222e01,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/7cf4babf... (producto 67), ruta estatica de pagina del mismo archivo. Reutiliza el mismo saneado por contenido."
fichas/puerta-thermacore-595.pdf,8e4b232791099c29a4616cae17d42ee1c8c9637af06f83e25a640505a91026b2,A,sanitized,PDF-SANITIZE-EMBEDDEDFILE-V1,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: contenido nuevo (no es gemelo de ningun hash ya aprobado), pero mismo perfil estructural que el Grupo A: unico objeto /EmbeddedFile pasivo (ajuste de conversion Adobe Distiller, texto plano), sin /OpenAction, /AA, /AcroForm ni /Names/JavaScript (verificado con pikepdf, recorrido estructural completo). Sin producto propietario documentado en product-master.csv ni product-media-relations.csv (permanece en el grupo de medios sin referencia, fuera del alcance de Q05/Q02/Q06). Se autoriza copia sanitizada igual que el resto del Grupo A."
fichas/rhx-commercial-operator-brochure.pdf,525617851dbf6430bb53100d0fdef5a95b0a048b0bc20f3778005bb48cd788ca,B,exception,SAFE_PDF_FALSE_POSITIVE,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/3e620ed8... (mismo producto 77, alcanzado por la ruta estatica de pagina). Misma excepcion, gateada por este hash y esta ruta exactos."
fichas/Cortina-serie-610-620.pdf,da92b4c85c86a66b1cae255adcb4c0b61f75d37d36ef5272696bc922cd6ca838,B,exception,SAFE_PDF_FALSE_POSITIVE,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de system/files/images/productos/98b07de6... (mismo producto 95, ruta estatica de pagina). Misma excepcion, gateada por este hash y esta ruta exactos."
fichas/Icaro-smart-AC-Aes.pdf,59e03db70ddceee5c79478129ceeedde4a469893d60f00afe83c8c836040f6f4,B,exception,SAFE_PDF_BENIGN_INTERNAL_ACTION,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: la coincidencia es /OpenAction real (no casual), pero su valor es un destino de vista explicito ([pagina /Fit], sin diccionario /S de accion) que solo indica con que zoom/pagina abrir el documento -- no ejecuta nada. Recorrido completo del grafo de objetos con pikepdf: cero acciones peligrosas (/Launch, /URI, /JavaScript, /SubmitForm, /ImportData, /GoToR, /GoToE, /Sound, /Movie, /Rendition, /Hide) en todo el archivo; sin /EmbeddedFile, /AcroForm ni /Names/JavaScript. Sin producto propietario documentado (medio sin referencia, fuera del alcance de Q02/Q06)."
fichas/Clopay-3720-07.pdf,4b1e655cb7fe72789212f01e6578fba7773cfd0f2c7d4f03d968e666d3a82638,B,exception,SAFE_PDF_BENIGN_INTERNAL_ACTION,,MIGRATE,,"Q05: /OpenAction real con /S /GoTo. El destino ([0] del arreglo) es un objeto /Page dentro del MISMO documento (verificado con pikepdf; no es referencia remota ni a archivo externo). Recorrido completo del grafo de objetos: cero acciones peligrosas en todo el archivo (ver system/files/images/productos/b6b8d27d..., mismo contenido). Sin /EmbeddedFile, /AcroForm ni /Names/JavaScript."
system/files/images/productos/b6b8d27db846f68a7050c59a82b2e31ff137b7e4,4b1e655cb7fe72789212f01e6578fba7773cfd0f2c7d4f03d968e666d3a82638,B,exception,SAFE_PDF_BENIGN_INTERNAL_ACTION,19|61,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de fichas/Clopay-3720-07.pdf (mismos productos 19/61, ruta derivada de SQL). Misma excepcion, gateada por este hash y esta ruta exactos."
fichas/CMDC-0524SP-14-1.pdf,4c0e907d3846a72f5bea4da1e2f2d67d2afdaab66211045725eee9b430bdbf4e,B,exception,SAFE_PDF_BENIGN_INTERNAL_ACTION,,MIGRATE,,"Q05: /OpenAction real con /S /GoTo hacia un /Page del mismo documento (verificado con pikepdf). Recorrido completo del grafo de objetos: cero acciones peligrosas. Sin /EmbeddedFile, /AcroForm ni /Names/JavaScript."
system/files/images/productos/e1fc3c722338060ac5bc7cf2ece07503d6bc4a0c,4c0e907d3846a72f5bea4da1e2f2d67d2afdaab66211045725eee9b430bdbf4e,B,exception,SAFE_PDF_BENIGN_INTERNAL_ACTION,18|58,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de fichas/CMDC-0524SP-14-1.pdf (mismos productos 18/58, ruta derivada de SQL). Misma excepcion, gateada por este hash y esta ruta exactos."
fichas/CMDC-3717-3718-11.pdf,56136ae68c00fd76ee16c50cbaefabd8eb5ea8e581142f59287b5b05ab9c2ec1,B,exception,SAFE_PDF_BENIGN_INTERNAL_ACTION,,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: /OpenAction real con /S /GoTo hacia un /Page del mismo documento (verificado con pikepdf). Recorrido completo del grafo de objetos: cero acciones peligrosas. Sin /EmbeddedFile, /AcroForm ni /Names/JavaScript."
system/files/images/productos/74237414514c37fbc6273d2d8ed63ba0af98464d,56136ae68c00fd76ee16c50cbaefabd8eb5ea8e581142f59287b5b05ab9c2ec1,B,exception,SAFE_PDF_BENIGN_INTERNAL_ACTION,2|17,REVIEW,VALID_BYTES_REQUIRES_APPROVAL,"Q05: gemelo binario exacto de fichas/CMDC-3717-3718-11.pdf (mismos productos 2/17, ruta derivada de SQL). Misma excepcion, gateada por este hash y esta ruta exactos."
